"","gene_id","gene_type"
"198","ENSMUSG00000026109","protein_coding"
"199","ENSMUSG00000045954","protein_coding"
"200","ENSMUSG00000026107","protein_coding"
"201","ENSMUSG00000018417","protein_coding"
"202","ENSMUSG00000062939","protein_coding"
"203","ENSMUSG00000026104","protein_coding"
"204","ENSMUSG00000026103","protein_coding"
"205","ENSMUSG00000002881","protein_coding"
"206","ENSMUSG00000043015","protein_coding"
"207","ENSMUSG00000041439","protein_coding"
"208","ENSMUSG00000026102","protein_coding"
"209","ENSMUSG00000041426","protein_coding"
"210","ENSMUSG00000043629","protein_coding"
"211","ENSMUSG00000026100","protein_coding"
"212","ENSMUSG00000060715","protein_coding"
"213","ENSMUSG00000026098","protein_coding"
"214","ENSMUSG00000026097","protein_coding"
"215","ENSMUSG00000100679","protein_coding"
"216","ENSMUSG00000026096","protein_coding"
"217","ENSMUSG00000099913","protein_coding"
"218","ENSMUSG00000026095","protein_coding"
"219","ENSMUSG00000117809","protein_coding"
"220","ENSMUSG00000096141","protein_coding"
"221","ENSMUSG00000026094","protein_coding"
"222","ENSMUSG00000042807","protein_coding"
"223","ENSMUSG00000025983","protein_coding"
"224","ENSMUSG00000041303","protein_coding"
"225","ENSMUSG00000109809","protein_coding"
"226","ENSMUSG00000073678","protein_coding"
"227","ENSMUSG00000052331","protein_coding"
"228","ENSMUSG00000025982","protein_coding"
"229","ENSMUSG00000025981","protein_coding"
"230","ENSMUSG00000025980","protein_coding"
"231","ENSMUSG00000073676","protein_coding"
"232","ENSMUSG00000025979","protein_coding"
"233","ENSMUSG00000025978","protein_coding"
"234","ENSMUSG00000046994","protein_coding"
"235","ENSMUSG00000025977","protein_coding"
"236","ENSMUSG00000038349","protein_coding"
"237","ENSMUSG00000045336","protein_coding"
"238","ENSMUSG00000038331","protein_coding"
"239","ENSMUSG00000038323","protein_coding"
"240","ENSMUSG00000048495","protein_coding"
"241","ENSMUSG00000025971","protein_coding"
"242","ENSMUSG00000038305","protein_coding"
"243","ENSMUSG00000054770","protein_coding"
"244","ENSMUSG00000026039","protein_coding"
"245","ENSMUSG00000063558","protein_coding"
"246","ENSMUSG00000064294","protein_coding"
"247","ENSMUSG00000038242","protein_coding"
"248","ENSMUSG00000079554","protein_coding"
"249","ENSMUSG00000051223","protein_coding"
"250","ENSMUSG00000026034","protein_coding"
"251","ENSMUSG00000026035","protein_coding"
"252","ENSMUSG00000026036","protein_coding"
"253","ENSMUSG00000026037","protein_coding"
"254","ENSMUSG00000038174","protein_coding"
"255","ENSMUSG00000026032","protein_coding"
"256","ENSMUSG00000047528","protein_coding"
"257","ENSMUSG00000026031","protein_coding"
"258","ENSMUSG00000026029","protein_coding"
"259","ENSMUSG00000026028","protein_coding"
"260","ENSMUSG00000026027","protein_coding"
"261","ENSMUSG00000072295","protein_coding"
"262","ENSMUSG00000038079","protein_coding"
"263","ENSMUSG00000079550","protein_coding"
"264","ENSMUSG00000026024","protein_coding"
"265","ENSMUSG00000026023","protein_coding"
"266","ENSMUSG00000041075","protein_coding"
"267","ENSMUSG00000047361","protein_coding"
"268","ENSMUSG00000026021","protein_coding"
"269","ENSMUSG00000026020","protein_coding"
"270","ENSMUSG00000067336","protein_coding"
"271","ENSMUSG00000041040","protein_coding"
"272","ENSMUSG00000026018","protein_coding"
"273","ENSMUSG00000026019","protein_coding"
"274","ENSMUSG00000026017","protein_coding"
"275","ENSMUSG00000073664","protein_coding"
"276","ENSMUSG00000049439","protein_coding"
"277","ENSMUSG00000026782","protein_coding"
"278","ENSMUSG00000026014","protein_coding"
"279","ENSMUSG00000026012","protein_coding"
"280","ENSMUSG00000026011","protein_coding"
"281","ENSMUSG00000026009","protein_coding"
"282","ENSMUSG00000052062","protein_coding"
"283","ENSMUSG00000025969","protein_coding"
"284","ENSMUSG00000040865","protein_coding"
"285","ENSMUSG00000025968","protein_coding"
"286","ENSMUSG00000025967","protein_coding"
"287","ENSMUSG00000046856","protein_coding"
"288","ENSMUSG00000027520","protein_coding"
